"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.25599739178386,0.839635740728497,-1.49588366818939,0.136381409614145
"log(Knowledge + 1)",-0.00988745280325695,0.268423195097783,-0.0368353144729355,0.970655880573346
"log(pre_inv + 1)",1.46436695230869,1.04269083109466,1.40441145988724,0.161866607408624
"log(post_inv + 1)",1.15376231718679,0.180888152046138,6.37831889007579,1.38537829431299e-09
"log(cum_species_fn1 + 1)",0.0356690951570972,0.0261841831077031,1.36223822642776,0.174772613059642
"log(tot_sr_fn1 + 1)",0.0360229954485152,0.0368664816647032,0.977120512234949,0.329780598467051
"log(imports + 1)",-0.00345652164518932,0.01250807176377,-0.276343285397612,0.782591706791728
"log(imports_historical + 1)",-0.00366191054698243,0.00740735980053196,-0.494361101065923,0.621635446401203
"log(GDP.j + 1)",-0.0721435399107806,0.0626831811290339,-1.15092339940873,0.251243449888411
"log(Pop.j + 1)",0.149609691356617,0.0665016186835165,2.24971503428533,0.0256407511172199
"log(damage_ref + 1)",0.555658228614575,0.105419057537931,5.27094665416302,3.74323425352075e-07
