"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.14700391166319,0.571725746347144,2.00621350182601,0.0458401665586309
"log(combined5$pre_inv + 1)",2.97935565463957,0.302476883380458,9.849862314576,9.89925043508745e-20
"log(combined5$Knowledge + 1)",-0.144956842803655,0.0862078314769765,-1.68148114063591,0.0938366892736524
"log(combined5$damage_cost + 1)",0.137320833333512,0.0188872427218841,7.27056010004054,3.95061237973778e-12
"log(combined5$cum_species_fn1 + 1)",0.00644622292938079,0.00713319626648673,0.903693476046147,0.366971136500339
"log(combined5$imports + 1)",0.000144122739262306,0.00319685511975605,0.0450826621361883,0.964075060427812
"log(combined5$imports_historical + 1)",5.80322150385645e-05,0.00209857910483466,0.0276530986632198,0.97795945218082
"combined5$GDP.j",0.00516290567327282,0.0164704651523487,0.313464472649493,0.754172117370726
"log(combined5$Pop.j + 1)",-0.489078685547359,0.319848674540666,-1.52909398874241,0.127422892644845
"combined5$mgmt_delay_fn1",0.000189395800015992,0.000354464706027393,0.534314973523359,0.593567463511174
"log(combined5$tot_sr_fn1 + 1)",0.00715316569464241,0.00949914207897794,0.753032814455182,0.452092474237629
"log(combined5$mg_ref + 1)",0.0641576959913753,0.0175587847494765,3.65388020337161,0.000310810968441129
